"Date(UTC)","Julian Date","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)"
"Aug 08 2008",2454687,30.94,9.15e-8,2.48e-8
"Aug 15 2008",2454694,38.34,1.07e-7,2.79e-8
"Aug 22 2008",2454701,19.67,7.87e-8,2.59e-8
"Aug 29 2008",2454708,39.25,1.26e-7,3.12e-8
"Sep 05 2008",2454715,15.77,7.28e-8,2.86e-8
"Sep 12 2008",2454722,22.45,8.24e-8,3.03e-8
"Sep 19 2008",2454729,12.71,4.76e-8,2.36e-8
"Sep 26 2008",2454736,27.65,9.28e-8,2.83e-8
"Oct 03 2008",2454743,26.91,8.99e-8,2.60e-8
"Oct 10 2008",2454750,18.71,8.14e-8,2.57e-8
"Oct 17 2008",2454757,6.44 ,4.41e-8,2.34e-8
"Oct 24 2008",2454764,36.73,1.17e-7,3.05e-8
"Oct 31 2008",2454771,9.86,6.06e-8,2.79e-8
"Nov 07 2008",2454777,6.48,5.79e-8,3.10e-8
"Nov 14 2008",2454784,8.36,5.73e-8,2.70e-8
"Nov 21 2008",2454791,54.24,1.55e-7,3.20e-8
"Nov 28 2008",2454798,4.98 ,4.59e-8,2.83e-8
"Dec 05 2008",2454806,19.06,7.29e-8,2.53e-8
"Dec 12 2008",2454813,21.93,7.31e-8,2.48e-8
"Dec 19 2008",2454820,4.37,3.50e-8,2.20e-8
"Dec 26 2008",2454827,3.25,8.08e-8,8.0e-8
"Jan 02 2009",2454833,47.02,1.84e-7,3.90e-8
"Jan 09 2009",2454840,20.98,9.66e-8,3.07e-8
"Jan 16 2009",2454847,44.4,1.37e-7,3.10e-8
"Jan 23 2009",2454854,39.54,1.30e-7,2.90e-8
"Jan 30 2009",2454861,59.71,1.76e-7,3.30e-8
"Feb 06 2009",2454868,21.92,8.03e-8,2.88e-8
"Feb 13 2009",2454875,39.22,1.54e-7,3.70e-8
"Feb 20 2009",2454882,14.53,8.79e-8,3.51e-8
"Feb 27 2009",2454889,83.11,2.12e-7,3.70e-8
"Mar 06 2009",2454898,47.77,1.60e-7,3.50e-8
"Mar 13 2009",2454905,0.06,7.26e-8,7e-8
"Mar 20 2009",2454912,6.83,4.41e-8,2.19e-8
"Mar 27 2009",2454919,19.39,7.77e-8,2.81e-8
"Apr 03 2009",2454926,30.37,1.13e-7,3.08e-8
"Apr 10 2009",2454933,193.82,4.02e-7,5.10e-8
