Source_Name,GLON,GLAT,Flux1000,Unc_Flux1000,PL_Index,Unc_PL_Index,CLASS,Redshift,SED_class,nu_syn,nuFnu_syn
4FGL J0001.2+4741,114.2502,-14.338059,1.2159239e-10,3.2066936e-11,2.2221549,0.19758435,bcu,-inf,ISP,100000000000000.0,3.716456e-13
4FGL J0001.2-0747,89.03272,-67.30501,8.2320506e-10,5.6777423e-11,2.1049428,0.05002799,bll,-inf,LSP,91201080000000.0,1.9367698e-12
4FGL J0001.5+2113,107.64935,-40.167652,1.3590526e-09,6.8598856e-11,2.659308,0.023107337,fsrq,1.106,ISP,158489330000000.0,1.152471e-12
4FGL J0001.6-4156,334.22635,-72.02855,3.0486913e-10,3.4296448e-11,1.7558894,0.07441355,bcu,-inf,HSP,7328245500000000.0,1.9029483e-12
4FGL J0002.1-6728,310.08493,-48.963467,2.4168523e-10,3.0690155e-11,1.846469,0.084931985,bcu,-inf,,0.0,0.0
4FGL J0002.3-0815,89.04345,-67.84833,1.1693464e-10,3.32925e-11,1.9895958,0.18045619,bcu,-inf,LSP,75857754000000.0,3.9934568e-13
4FGL J0002.4-5156,319.99948,-63.539017,7.621813e-11,2.2970199e-11,1.897161,0.19413483,bcu,-inf,,0.0,0.0
4FGL J0003.1-5248,318.9899,-62.788944,3.1529795e-10,3.654255e-11,1.8750632,0.0814981,bcu,-inf,,0.0,0.0
4FGL J0003.2+2207,108.438545,-39.380795,1.3514474e-10,3.3926677e-11,2.210459,0.20792037,bll,0.09983,LSP,83176380000000.0,4.5184033e-13
4FGL J0003.3-1928,65.197784,-76.580986,4.0164658e-10,4.4221696e-11,2.2775729,0.07475444,bcu,-inf,LSP,22908676000000.0,6.41471e-13
4FGL J0003.3-5905,314.23904,-56.965885,1.3030604e-10,2.5059215e-11,2.4606173,0.15367769,bcu,-inf,,0.0,0.0
4FGL J0003.9-1149,84.59542,-71.0751,3.505177e-10,4.4482935e-11,2.0871086,0.086440966,bll,1.30999,LSP,2454708800000.0,8.173593e-13
4FGL J0004.0+0840,103.49598,-52.397846,1.9185711e-10,3.5494694e-11,2.035315,0.1281966,bll,2.057129,ISP,301995160000000.0,2.5930565e-13
4FGL J0004.3+4614,114.48897,-15.854909,2.4093677e-10,3.923831e-11,2.584969,0.110209025,fsrq,1.81,LSP,2570395800000.0,2.294431e-13
4FGL J0004.4-4737,323.986,-67.53783,4.359618e-10,3.7467446e-11,2.36556,0.059154794,fsrq,0.88,LSP,13182567000000.0,2.52002e-12
4FGL J0005.9+3824,113.23228,-23.613338,4.251474e-10,4.8877246e-11,2.6721156,0.056613576,fsrq,0.229,LSP,13182567000000.0,7.2600064e-12
4FGL J0006.3-0620,93.64702,-66.62518,1.3976847e-10,3.1349683e-11,2.127844,0.14994109,bll,0.347,LSP,8317638000000.0,8.180352e-12
4FGL J0006.4+0135,100.47745,-59.29749,1.5191187e-10,3.2195253e-11,2.0524669,0.15627095,bll,0.787,ISP,229086760000000.0,2.2438819e-13
4FGL J0007.7+4008,113.93701,-21.972776,4.032977e-10,4.161232e-11,2.1588902,0.080165885,bcu,-inf,,0.0,0.0
4FGL J0008.0+4711,115.31625,-15.033559,2.0532935e-09,8.062639e-11,2.0470488,0.027792612,bll,0.28,LSP,33496544000000.0,1.2983028e-12
4FGL J0008.0-3937,335.9962,-74.58333,1.4916648e-10,2.8882216e-11,2.5832374,0.119510725,bcu,-inf,LSP,3162277700000.0,2.6849302e-13
4FGL J0008.4-2339,50.26514,-79.690834,1.6445478e-10,3.0417942e-11,1.6560616,0.10671219,bll,0.147,,0.0,0.0
4FGL J0008.4+1455,107.72407,-46.6767,3.4327866e-10,4.184089e-11,2.091194,0.088267766,bcu,-inf,,0.0,0.0
4FGL J0009.1+0628,104.480736,-54.868298,4.770015e-10,4.728492e-11,2.0990546,0.07226955,bll,1.562629,LSP,24547089000000.0,1.7127541e-12
4FGL J0009.3+5030,116.12437,-11.803588,2.6324594e-09,8.7119825e-11,1.9939121,0.022230837,bll,-inf,HSP,1258925400000000.0,1.1958948e-12
4FGL J0009.7-3217,0.6727207,-79.58928,1.5854622e-10,2.878957e-11,2.1454287,0.12836745,rdg,0.02542,ISP,149623560000000.0,2.024585e-12
4FGL J0009.8-4317,327.77505,-71.76617,2.0692376e-10,2.9457662e-11,2.0651708,0.10823472,bll,0.56,,0.0,0.0
4FGL J0009.8+1340,107.75219,-47.971355,1.1838812e-10,3.1555175e-11,2.1652951,0.19839297,bcu,-inf,HSP,1.566751e+16,5.457126e-13
4FGL J0010.6+2043,110.21874,-41.12827,1.7261258e-10,3.4438032e-11,2.31787,0.14961761,fsrq,0.6,LSP,3630780600000.0,3.6381366e-13
4FGL J0010.6-3025,10.263708,-80.482315,3.4923767e-10,3.6613886e-11,2.4560356,0.066498935,fsrq,1.19,LSP,9660509000000.0,6.701654e-13
4FGL J0010.8-2154,60.28118,-79.400505,1.1858327e-10,2.6714622e-11,2.3778617,0.18326761,bcu,-inf,,0.0,0.0
4FGL J0011.4-4110,330.75208,-73.720406,8.813913e-11,2.4898106e-11,2.5804715,0.18308641,bcu,0.091,ISP,660693500000000.0,2.963712e-13
4FGL J0011.4+0057,102.407234,-60.302692,4.2882067e-10,4.463101e-11,2.3342156,0.08108185,fsrq,1.492,LSP,6918310000000.0,8.5560633e-13
4FGL J0011.8-3142,2.5585456,-80.23526,1.2288351e-10,2.7308142e-11,1.9735353,0.16471277,bcu,-inf,,0.0,0.0
4FGL J0013.1-3955,332.33987,-74.936165,4.1848375e-10,3.7944693e-11,2.0022683,0.067522354,bll,-inf,LSP,7244359400000.0,9.466142e-13
4FGL J0013.4+0950,107.64184,-51.902443,1.6828142e-10,3.9719998e-11,2.1515617,0.19725822,bcu,-inf,HSP,2.0653802e+16,2.0941415e-12
4FGL J0013.6+4051,115.2578,-21.451033,1.6368609e-10,3.1144805e-11,2.1912282,0.15083945,agn,0.2555,LSP,6237348400000.0,2.7033794e-12
