"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","165.81","1.77e-7","2.80e-8","-1.99","0","64.18","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","161.55","1.98e-7","3.40e-8","-1.99","0","70.95","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","191.83","2.50e-7","4.00e-8","-1.99","0","77.73","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","177.63","2.25e-7","3.90e-8","-1.99","0","84.50","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","232.68","2.64e-7","3.70e-8","-1.99","0","91.26","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","168.38","2.08e-7","3.50e-8","-1.99","0","98.02","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","98.17","1.34e-7","2.80e-8","-1.99","0","104.77","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","151.61","1.51e-7","2.80e-8","-1.99","0","111.54","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","152.38","1.65e-7","3.00e-8","-1.99","0","118.34","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","137.19","1.89e-7","3.30e-8","-1.99","0","125.18","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","143.11","2.22e-7","3.90e-8","-1.99","0","132.08","1e-8","0","bin11.log"
"Oct 31 2008","2454771","247147201","152.83","1.92e-7","3.40e-8","-1.99","0","146.09","1e-8","0","bin13.log"
"Nov 07 2008","2454777","247752001","66.07","1.13e-7","2.64e-8","-1.99","0","153.20","1e-8","0","bin14.log"
"Nov 14 2008","2454784","248356801","87.32","1.21e-7","2.61e-8","-1.99","0","160.31","1e-8","0","bin15.log"
"Nov 21 2008","2454791","248961601","213.13","1.90e-7","3.00e-8","-1.99","0","167.22","1e-8","0","bin16.log"
"Nov 28 2008","2454798","249566401","137.86","1.91e-7","3.30e-8","-1.99","0","172.89","1e-8","0","bin17.log"
"Dec 12 2008","2454813","250776001","23.87","7.25e-8","2.69e-8","-1.99","0","166.57","1e-8","0","bin19.log"
"Dec 26 2008","2454827","251985601","137.69","1.70e-7","3.10e-8","-1.99","0","151.77","1e-8","0","bin21.log"
"Jan 02 2009","2454833","252590401","142.86","1.50e-7","2.90e-8","-1.99","0","144.18","1e-8","0","bin22.log"
"Jan 09 2009","2454840","253195201","228.74","2.16e-7","2.80e-8","-1.99","0","136.65","1e-8","0","bin23.log"
"Jan 16 2009","2454847","253800001","175.24","2.08e-7","3.50e-8","-1.99","0","129.26","1e-8","0","bin24.log"
"Jan 23 2009","2454854","254404801","216.24","2.39e-7","3.60e-8","-1.99","0","122.04","1e-8","0","bin25.log"
"Jan 30 2009","2454861","255009601","259.5","2.93e-7","4.10e-8","-1.99","0","115.03","1e-8","0","bin26.log"
"Feb 06 2009","2454868","255614401","277.14","3.06e-7","4.10e-8","-1.99","0","108.25","1e-8","0","bin27.log"
"Feb 13 2009","2454875","256219201","154.23","2.01e-7","3.50e-8","-1.99","0","101.71","1e-8","0","bin28.log"
"Feb 20 2009","2454882","256824001","614.27","4.73e-7","4.60e-8","-1.99","0","95.40","1e-8","0","bin29.log"
"Feb 27 2009","2454889","257428801","534.88","3.95e-7","4.00e-8","-1.99","0","89.31","1e-8","0","bin30.log"
