Date(UTC),Julian Date,TS,Photon Flux [0.1-100 GeV](photons cm-2 s-1),Photon Flux Error(photons cm-2 s-1)
Aug 08 2008,2454687,165.81,1.77e-07,2.8e-08
Aug 15 2008,2454694,161.55,1.98e-07,3.4e-08
Aug 22 2008,2454701,191.83,2.5e-07,4e-08
Aug 29 2008,2454708,177.63,2.25e-07,3.9e-08
Sep 05 2008,2454715,232.68,2.64e-07,3.7e-08
Sep 12 2008,2454722,168.38,2.08e-07,3.5e-08
Sep 19 2008,2454729,98.17,1.34e-07,2.8e-08
Sep 26 2008,2454736,151.61,1.51e-07,2.8e-08
Oct 03 2008,2454743,152.38,1.65e-07,3e-08
Oct 10 2008,2454750,137.19,1.89e-07,3.3e-08
Oct 17 2008,2454757,143.11,2.22e-07,3.9e-08
Oct 31 2008,2454771,152.83,1.92e-07,3.4e-08
Nov 07 2008,2454777,66.07,1.13e-07,2.64e-08
Nov 14 2008,2454784,87.32,1.21e-07,2.61e-08
Nov 21 2008,2454791,213.13,1.9e-07,3e-08
Nov 28 2008,2454798,137.86,1.91e-07,3.3e-08
Dec 12 2008,2454813,23.87,7.25e-08,2.69e-08
Dec 26 2008,2454827,137.69,1.7e-07,3.1e-08
Jan 02 2009,2454833,142.86,1.5e-07,2.9e-08
Jan 09 2009,2454840,228.74,2.16e-07,2.8e-08
Jan 16 2009,2454847,175.24,2.08e-07,3.5e-08
Jan 23 2009,2454854,216.24,2.39e-07,3.6e-08
Jan 30 2009,2454861,259.5,2.93e-07,4.1e-08
Feb 06 2009,2454868,277.14,3.06e-07,4.1e-08
Feb 13 2009,2454875,154.23,2.01e-07,3.5e-08
Feb 20 2009,2454882,614.27,4.73e-07,4.6e-08
Feb 27 2009,2454889,534.88,3.95e-07,4e-08
Mar 06 2009,2454898,436.93,3.47e-07,4.1e-08
Mar 13 2009,2454905,109.07,2.41e-07,4.6e-08
Mar 20 2009,2454912,348.08,3.26e-07,3.7e-08
Mar 27 2009,2454919,219.81,2.61e-07,3.7e-08
Apr 03 2009,2454926,241.42,2.94e-07,4.1e-08
Apr 10 2009,2454933,366.03,3.9e-07,4.7e-08
Apr 17 2009,2454940,687.23,5.1e-07,4.7e-08
Apr 24 2009,2454947,807.35,5.46e-07,4.9e-08
May 01 2009,2454954,457.0,3.85e-07,4.4e-08
May 08 2009,2454961,234.16,2.74e-07,3.9e-08
May 15 2009,2454968,261.46,3.12e-07,4.4e-08
May 22 2009,2454975,190.28,2.32e-07,3.8e-08
May 29 2009,2454982,77.51,1.17e-07,2.87e-08
Jun 05 2009,2454988,139.87,1.65e-07,2.7e-08
Jun 12 2009,2454995,220.66,2e-07,3.1e-08
Jun 19 2009,2455002,121.96,1.37e-07,2.7e-08
Jun 26 2009,2455009,140.76,1.61e-07,3e-08
Jul 03 2009,2455017,113.32,1.28e-07,2.7e-08
Jul 10 2009,2455024,56.32,1.09e-07,2.9e-08
Jul 17 2009,2455031,105.5,1.67e-07,3.5e-08
Jul 24 2009,2455038,147.77,1.9e-07,3.1e-08
Aug 07 2009,2455051,79.06,1.15e-07,2.53e-08
Aug 14 2009,2455058,248.81,2.19e-07,3.4e-08
Aug 21 2009,2455065,65.15,9.65e-08,2.4e-08
Aug 28 2009,2455072,76.48,1.31e-07,3.34e-08
Sep 04 2009,2455079,79.6,1.47e-07,3.5e-08
Oct 30 2009,2455135,20.67,9.44e-08,3.69e-08
Nov 06 2009,2455142,51.2,8.56e-08,2.74e-08
Nov 20 2009,2455156,205.62,1.68e-07,2.6e-08
Nov 27 2009,2455163,195.55,1.57e-07,2.6e-08
Dec 04 2009,2455170,341.21,2.45e-07,2.9e-08
Dec 25 2009,2455191,215.1,3.34e-07,4.8e-08
Jan 08 2010,2455204,626.27,4.22e-07,4.2e-08
Jan 29 2010,2455225,413.82,3.75e-07,4.3e-08
Feb 12 2010,2455239,787.52,6.69e-07,5.6e-08
Feb 26 2010,2455253,738.13,5.32e-07,4.9e-08
Mar 05 2010,2455262,1037.6,6.59e-07,5.1e-08
Mar 12 2010,2455269,909.96,4.95e-07,3.9e-08
Apr 16 2010,2455304,445.46,5.14e-07,6e-08
Apr 23 2010,2455311,704.34,5.28e-07,4.8e-08
May 14 2010,2455332,395.05,3.26e-07,3.7e-08
Jun 18 2010,2455367,440.79,3.8e-07,4.2e-08
Jul 30 2010,2455409,50.4,9.86e-08,2.81e-08
Aug 06 2010,2455416,44.09,7.15e-08,2.05e-08
Aug 20 2010,2455430,49.14,5.23e-08,1.58e-08
Aug 27 2010,2455437,24.6,4.82e-08,1.77e-08
Sep 03 2010,2455443,41.26,9.52e-08,2.37e-08
Sep 17 2010,2455457,64.93,1.65e-07,3.5e-08
Sep 24 2010,2455464,107.77,1.45e-07,2.9e-08
