"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","149.81","1.32e-7","2.40e-8","-1.99","0","39.92","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","53.93","9.75e-8","2.42e-8","-1.99","0","46.60","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","83.88","1.29e-7","2.70e-8","-1.99","0","53.34","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","116.28","1.50e-7","2.80e-8","-1.99","0","60.11","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","171.92","1.91e-7","2.80e-8","-1.99","0","66.89","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","103.41","1.28e-7","2.30e-8","-1.99","0","73.69","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","84.58","1.16e-7","2.34e-8","-1.99","0","80.50","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","205.55","1.69e-7","2.60e-8","-1.99","0","87.33","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","219.15","2.47e-7","3.10e-8","-1.99","0","94.20","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","160.84","1.96e-7","3.20e-8","-1.99","0","101.10","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","116.58","1.73e-7","3.20e-8","-1.99","0","108.05","1e-8","0","bin11.log"
"Oct 24 2008","2454764","246542401","94.28","1.25e-7","2.40e-8","-1.99","0","115.02","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","57.98","7.84e-8","1.90e-8","-1.99","0","122.01","1e-8","0","bin13.log"
"Nov 07 2008","2454777","247752001","49.73","7.38e-8","1.90e-8","-1.99","0","128.97","1e-8","0","bin14.log"
"Nov 14 2008","2454784","248356801","84.18","1.00e-7","2.20e-8","-1.99","0","135.85","1e-8","0","bin15.log"
"Nov 21 2008","2454791","248961601","96.09","1.10e-7","2.19e-8","-1.99","0","142.50","1e-8","0","bin16.log"
"Nov 28 2008","2454798","249566401","157.8","1.84e-7","2.80e-8","-1.99","0","148.72","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","102.07","1.63e-7","3.10e-8","-1.99","0","154.12","1e-8","0","bin18.log"
"Dec 12 2008","2454813","250776001","67.01","1.21e-7","2.66e-8","-1.99","0","158.02","1e-8","0","bin19.log"
"Dec 19 2008","2454820","251380801","42.68","8.97e-8","2.32e-8","-1.99","0","159.58","1e-8","0","bin20.log"
"Dec 26 2008","2454827","251985601","19.75","4.19e-8","1.55e-8","-1.99","0","158.37","1e-8","0","bin21.log"
"Jan 02 2009","2454833","252590401","22.54","5.23e-8","1.77e-8","-1.99","0","154.92","1e-8","0","bin22.log"
"Jan 09 2009","2454840","253195201","4.94","1.90e-8","1.21e-8","-1.99","0","150.15","1e-8","0","bin23.log"
"Jan 16 2009","2454847","253800001","15.31","3.96e-8","1.59e-8","-1.99","0","144.76","1e-8","0","bin24.log"
"Jan 23 2009","2454854","254404801","9.32","2.84e-8","1.64e-8","-1.99","0","139.12","1e-8","0","bin25.log"
"Jan 30 2009","2454861","255009601","14.2","5.56e-8","2.32e-8","-1.99","0","133.45","1e-8","0","bin26.log"
"Feb 06 2009","2454868","255614401","9.8","1.24e-8","9.29e-9","-1.99","0","127.85","1e-8","0","bin27.log"
"Feb 13 2009","2454875","256219201","17.09","3.77e-8","1.62e-8","-1.99","0","122.36","1e-8","0","bin28.log"
