Date(UTC),Julian Date,TS,Photon Flux [0.1-100 GeV](photons cm-2 s-1),Photon Flux Error(photons cm-2 s-1)
Aug 08 2008,2454687,63.78,1.19e-07,2.51e-08
Aug 15 2008,2454694,52.15,9.95e-08,2.39e-08
Aug 22 2008,2454701,16.04,4.3e-08,1.89e-08
Aug 29 2008,2454708,23.41,7.96e-08,2.54e-08
Sep 05 2008,2454715,44.18,1.57e-07,3.5e-08
Sep 12 2008,2454722,17.04,8.77e-08,3.09e-08
Sep 19 2008,2454729,31.14,1.14e-07,2.97e-08
Sep 26 2008,2454736,44.67,1.23e-07,2.78e-08
Oct 03 2008,2454743,40.74,1.15e-07,2.68e-08
Oct 10 2008,2454750,59.53,1.5e-07,2.9e-08
Oct 17 2008,2454757,7.56,4.66e-08,2.11e-08
Oct 24 2008,2454764,98.89,2.18e-07,3.6e-08
Oct 31 2008,2454771,62.98,1.89e-07,3.8e-08
Nov 07 2008,2454777,57.34,1.83e-07,3.7e-08
Nov 14 2008,2454784,13.15,7e-08,2.5e-08
Nov 21 2008,2454791,13.14,5.54e-08,2.11e-08
Nov 28 2008,2454798,19.96,6.82e-08,2.12e-08
Dec 05 2008,2454806,5.39,2.3e-08,1.62e-08
Dec 12 2008,2454813,8.57,3.66e-08,1.87e-08
Dec 19 2008,2454820,20.07,6.16e-08,2.28e-08
Dec 26 2008,2454827,28.3,1.47e-07,3.9e-08
Jan 02 2009,2454833,7.0,4.35e-08,2.26e-08
Jan 09 2009,2454840,5.33,3.5e-08,1.92e-08
Jan 16 2009,2454847,20.84,5.92e-08,1.94e-08
Jan 23 2009,2454854,25.69,8.68e-08,2.4e-08
Jan 30 2009,2454861,14.13,6.13e-08,2.22e-08
Feb 06 2009,2454868,3.44,7.67e-08,3.835e-08
Feb 13 2009,2454875,14.7,7.29e-08,2.67e-08
Feb 20 2009,2454882,26.58,1.3e-07,3.47e-08
Feb 27 2009,2454889,204.44,3.38e-07,4.1e-08
Mar 06 2009,2454898,36.08,1.06e-07,2.61e-08
Mar 13 2009,2454905,0.04,5.47e-08,2.735e-08
Mar 20 2009,2454912,73.93,1.53e-07,2.9e-08
Mar 27 2009,2454919,22.8,8.34e-08,2.46e-08
Apr 03 2009,2454926,37.74,1.21e-07,2.96e-08
Apr 10 2009,2454933,56.44,1.4e-07,3.2e-08
Apr 17 2009,2454940,11.47,7.79e-08,2.97e-08
Apr 24 2009,2454947,52.76,1.23e-07,2.87e-08
May 01 2009,2454954,78.56,1.73e-07,3.1e-08
May 08 2009,2454961,67.1,1.45e-07,2.9e-08
May 15 2009,2454968,51.59,1.25e-07,2.79e-08
May 22 2009,2454975,43.2,1.2e-07,2.73e-08
May 29 2009,2454982,35.47,1.3e-07,3.23e-08
Jun 05 2009,2454988,5.71,5.32e-08,3.08e-08
Jun 12 2009,2454995,11.5,5.52e-08,2.36e-08
Jun 19 2009,2455002,47.79,1.3e-07,2.8e-08
Jun 26 2009,2455009,15.25,5.95e-08,2.18e-08
Jul 03 2009,2455017,21.62,7.28e-08,2.31e-08
Jul 10 2009,2455024,9.07,5.1e-08,2.14e-08
Jul 17 2009,2455031,13.22,6.65e-08,2.68e-08
Jul 24 2009,2455038,26.13,1.14e-07,3.21e-08
Jul 31 2009,2455045,13.56,6.1e-08,2.43e-08
Aug 07 2009,2455051,0.75,5.54e-08,2.77e-08
Aug 14 2009,2455058,4.66,4e-08,2.3e-08
Aug 21 2009,2455065,5.92,4.18e-08,2.16e-08
